fid,x,y,brand
94830825757,10.29080963,31.38789177,Vortex Optics
61468073073,6.493057728,28.23918152,Legendary Whitetails
90671958533,-35.68247986,-3.547220469,Lexus (Toyota)
99513544863,14.79042244,39.62720871,Schrade Knives & Tools
28488837485,-45.96884537,-11.22880459,Alaska
3.28E+11,-27.35042572,-12.66426182,Adobe Dreamweaver (Verified Page)
94941578325,-10.58285332,-63.85125351,InterContinental San Francisco
3.10E+11,-39.15012741,-4.300199986,BMW USA
3.04E+14,-49.35464478,-23.89283371,NYONair
1.79E+11,19.26179695,26.5742321,Plano
2.65E+11,44.16560173,18.66266632,Suzuki
2.38E+11,44.29950714,18.95340157,Nissan
2.96E+11,-31.47071266,-4.065024853,Empire Paintball
3.00E+11,-45.39200211,-10.32164764,Disney Cruise Line
2.12E+11,-39.54238892,0.908497632,Falken Tire
1.66E+11,43.63988876,17.45896912,U.S. Cellular
1.16E+14,16.96135712,25.41498947,Frabill
2.35E+11,11.28984642,30.15265465,"Mathews, Inc."
2.56E+11,16.64890099,40.74265671,Yokohama Tire
1.45E+14,11.47079277,27.8249588,Ugly Stik
1.82E+14,34.81310272,24.32599068,Noveske Rifleworks
2.13E+11,26.4561348,37.64431381,Hennessey Performance
1.35E+14,7.627667427,32.78355789,Silencerco
7.74E+14,11.2436676,27.93764687,Huk Gear
2.00E+14,15.08648682,37.99010086,"Buck Knives, Inc. - Official Page"
57327290245,-23.34112549,-10.53862476,Naughty Dog  LLC (Verified Page)
1.72E+14,-56.71039963,-15.517313,Nashville Union Station Hotel
2.88E+14,11.94058704,-35.6794548,221B Tactical
7737305975,43.75963593,18.83999062,Chrysler (Chrysler)
2.56E+14,-51.19656754,-11.13902092,Plantation on Crystal River
2.45E+14,-48.11489105,-1.92389524,PlanGrid (Verified Page)
61046571146,-31.61877441,-5.725516796,Neff Headwear
1.07E+11,7.152567863,30.11837959,GLOCK
46667802429,8.41713047,32.92469025,Maxpedition
56510866520,-38.15185547,-7.496589184,TaxAct
1.97E+11,44.00593948,18.97187996,Toyota (Toyota)
5.13E+14,33.74016953,24.88025284,JJFU
2.92E+11,7.543557644,45.01221085,ATN
1.46E+14,-47.81980896,-7.558264256,Adventures by Disney
12994977515,-40.54491043,-7.610799313,Sierra Nevada
1.94E+11,22.35880661,38.10807419,AmericanMuscle.com
55076703199,-31.42886543,-4.035501957,Tippmann Sports
2.99E+11,-23.96122932,-11.2363472,Gearbox Software Official
4.84E+14,1.218857527,27.61312103,The Horse Mafia
1.47E+11,14.11693668,-35.45933533,ERGO GRIPS
1.55E+14,-49.55794907,-8.639616966,Stella Rosa
1.73E+11,13.68500996,-34.80130005,Christensen Arms
1.58E+14,-47.79576492,-2.834969282,Intuit QuickBooks (Verified Page)
1.14E+11,34.91043472,24.30098152,CZ-USA
18595834696,1.697823882,26.01025391,Taco Bell (Yum! Brands)
85603601281,13.74489403,-36.51050186,Zero Tolerance Knives-KAI USA Ltd.
4.63E+14,-32.22761154,-20.8784523,Lufthansa (Verified Page)
3.14E+14,33.82806778,24.88296509,Tactical Tailor
1.29E+14,9.092505455,33.98381424,Blade-Tech Industries
48543634386,-1.968831658,28.03320122,Outback Steakhouse
4.77E+14,17.73674774,28.67413521,Ameristep Quality Hunting
58964945891,-33.73962784,-19.82309151,Cirrus Aircraft
3.48E+11,14.03952408,-35.1429863,Otis Technology
1.87E+11,15.94884491,26.88632584,Okuma Fishing USA
1.28E+14,33.03974533,22.66922951,CRKT
1.87E+14,29.42388725,21.80059242,Avian X
51012942040,-50.91252136,-4.389409065,Wild Palms Hotel
50245567013,-30.62255096,0.10937912,McDonald's 
57629597602,8.301555634,32.62205124,Sig Sauer
1.02E+11,10.07061195,35.73458099,Leupold Optics
89642764323,-18.52459908,-12.70378494,Cheaper Than Dirt
3.33E+14,-59.44077301,-6.983422279,Boston Marriott Copley Place
1.21E+14,16.32125664,41.89430237,Meguiar's (Verified Page)
7003656077,-40.00559998,-16.48821068,American
97239338959,6.539225578,32.43445969,Smith & Wesson Corp.
1.11E+14,12.3532486,33.22671127,Federal Premium
1.85E+11,-50.81848526,-19.0562458,HarbourView Inn
1.14E+14,31.37094307,22.53774643,Parker Bows
1.35E+14,8.830136299,30.56269264,Alien Gear Holsters (Verified Page)
6806028948,-42.65581512,-8.179739952,Southwest
1.91E+14,28.68367195,21.72793007,Banded Nation
3.27E+14,10.09115696,29.4713726,Hunter Safety System
90829863810,19.20886612,28.32082748,ScentLok
96585976469,-40.69422531,-5.509446621,Audi
91454100943,6.442359447,29.26706505,YETI
1.57E+14,7.657551289,28.08555603,Mossy Oak
3.64E+11,-37.3899765,-19.34385681,Pride of Maui
1.27E+14,25.25991058,33.03060532,Nitto Tire
1.79E+11,27.78731728,22.31722641,Zink Calls
4.83E+14,22.58508682,30.32775116,Taurus USA
1.53E+14,10.1260767,33.80663681,Ruger
52234888887,34.61296082,24.2820015,Advanced Armament Corp.
4.35E+14,33.01456833,24.49020386,Atibal
1.38E+14,-48.89466095,-10.65793228,Hilton Baltimore
1.25E+14,12.2226429,31.18514633,Flextone Game Calls
1.87E+14,-40.23999405,-9.478746414,Roadtrippers
1.36E+14,22.0748539,39.21590042,Sea Foam Products (Official)
39720139359,16.86941147,26.92380714,The Orvis Company
6169711698,-43.62855911,-1.937338829,StudentUniverse
1.90E+14,19.48167801,28.08199883,Big Game Logic
1.83E+14,-38.06985474,-16.39031982,Anchor Brewing Company
8025798609,8.528037071,28.88798904,Duck Commander
1.39E+14,15.37652683,27.75417137,Fish Shimano
1.09E+11,30.97147179,19.91594315,Old Town Canoes & Kayaks
60059500328,8.426484108,34.06383896,SOG Knives & Tools
1.70E+11,10.17797279,30.81505203,Nosler
17850134027,-17.68068504,-9.731571198,Indian Motorcycle (Verified Page)
3.27E+11,-47.09588623,-3.793364286,Comcast 
89547221245,22.67273331,25.95252037,DYE Paintball
1.00E+11,0.512051821,27.01065254,CamelBak
1.12E+14,-37.39876938,-14.75982475,Mercedes-Benz USA
1.09E+11,-42.67472839,-3.266084671,T-Mobile
71519223752,-37.91801834,-4.44230175,Hyundai
82956101592,-25.57464218,-11.35067654,Obsidian Entertainment
12442500122,-42.86645508,-6.500782013,Verizon Wireless 
3.79E+11,10.79092979,30.22720528,ThermaCELL Hunting
1.44E+14,-1.91191721,-26.55218506,Marriott International
1.17E+14,-43.24457169,-23.8096714,The James Hotels
19203078706,34.11882019,23.90507126,Spyderco
1.04E+14,26.51705551,41.27870178,Hankook USA
5.89E+14,14.9541254,37.2639122,Polaris RANGER ATV (Verified Page)
3.25E+11,21.66574097,30.01189232,Benelli
83515051668,-38.0811348,-4.419672012,Chevrolet Camaro
29138658571,11.01338482,31.71746635,Browning
2.15E+14,7.968790054,41.59317398,Kryptek Outdoor Group
6053772414,-4.307216167,29.18611717,Pizza Hut (Yum! Brands)
8576093908,-46.57761002,-5.930248737,AT&T 
2.46E+11,24.57936668,36.05400085,Icon (Verified Page)
1.96E+14,-32.18815994,-6.202527523,hookgrip
1.38E+11,7.706321239,31.28569031,Remington Arms Company
59346217925,25.99645233,33.74676514,Kawasaki USA
1.20E+11,-42.61867142,-9.088823318,Explore Minnesota Tourism
1.84E+14,38.59183121,-31.09325218,Orca Coolers
1.63E+11,23.96668434,32.37934875,KLiM
1.62E+14,3.015326262,28.39464569,Training Mask
8504193050,16.11842346,27.99891472,Z-Man Fishing Products
1.55E+14,12.58784008,-32.91824722,Camillus Brand
2.20E+14,-53.528759,-20.39058495,The Thayer Hotel at West Point
6.64E+14,13.07312965,-34.20268631,Black Scout Survival (Verified Page)
1.13E+14,-49.49617386,-3.898103952,Adobe Document Cloud (Verified Page)
1.04E+11,9.147121429,20.08538246,Outdoor Research
7292863341,-31.45840454,-0.841340244,Boost Mobile
1.01E+11,-0.34114781,24.76168823,Drury Hotels
1.79E+11,14.31219769,36.35998535,Hoyt Archery
3.72E+14,15.72513771,-35.67395782,Caldwell Shooting Supplies
1.16E+14,30.54254913,22.31402016,Rocky Boots
78022578902,15.2383709,41.30229568,Premier Protein
1.92E+11,-52.23794937,-12.82676125,Azamara Club Cruises
90235350759,33.1973877,22.79421043,Kershaw Knives-KAI USA Ltd.
3.03E+14,15.75313473,-35.65402222,BOG POD Tripods  Bipods & Monopods
2.05E+14,12.70371532,-35.65422058,STI International
1.10E+14,35.16133118,24.78193855,"Blue Force Gear, Inc."
1.57E+11,43.85300064,18.64648247,Kia
1.99E+11,-0.48017782,26.08521461,GCI
18790602800,-27.9344883,-9.43608284,Tesla
1.70E+11,-39.15723801,-17.30217552,The Heathman Hotel Kirkland and Trellis Restaurant
51583012511,25.46379852,33.53748703,Biltwell Inc.
1.04E+11,23.49826241,39.79550552,Holley Performance Products
9062006483,3.955644131,31.73641396,REI
6949921572,-48.94723511,-0.660571396,Mint (Verified Page)
63704168135,9.181401253,-34.00823593,CampSaver.com
1.28E+11,18.82920074,27.89454842,Sitka Gear
1.78E+14,-4.515048027,27.79682732,ASICS
40600764424,9.026016235,32.27971649,Springfield Armory
1.33E+14,-41.58521271,-8.452381134,Outdoor Project
1.07E+11,17.95365524,21.83227348,Specialized Bicycles
2.05E+14,28.69129372,36.87047958,Mickey Thompson Performance Tires & Wheels
34719647207,21.16852951,33.19660187,FOX (Verified Page)
3.30E+11,13.28451443,-35.45018005,Troy Industries
3.45E+14,-13.61632442,-57.81111526,Extended Stay America
1.38E+11,8.429112434,-16.69720078,VERTX
1.56E+11,25.00300789,34.10652161,Ram Trucks
9.81E+14,-59.28011703,-18.79955292,All Nippon Airways (Verified Page)
84917689333,-3.437826633,29.5533123,Applebee's
21991963920,-32.74050903,-7.939806461,Prince Tennis
1.95E+14,-54.7217865,-5.034648895,Renaissance Long Beach Hotel
8.12E+14,4.790934086,28.56419563,Dene Adams Official
67930989920,-49.35057831,-12.75596714,Rocky Mountaineer
2.26E+14,22.93187904,30.37586212,CrossBreed Holsters  LLC
7.47E+14,-34.08853531,-7.229180813,Reebok
1.16E+14,-0.833387971,29.90968895,EL AL Israel Airlines USA
85008854180,21.64196205,8.603105545,PING Golf
91709717378,24.4921875,35.30686951,Rigid Industries - LED Lighting
2.01E+14,18.83280563,28.33971024,Tenzing Outdoors
1.76E+14,34.70450592,23.94230461,"SureFire, LLC"
30147264485,38.72574997,-30.94053078,STANLEY
93116185063,-54.75198746,-13.07802773,Seabourn
2.70E+14,-45.70821381,-5.137794971,BuckedUp Apparel
2.67E+11,-53.73278427,-12.06777477,RCI
1.76E+14,9.761773109,31.10288429,Winchester
65695091790,7.110466003,31.00781441,Survival Straps
2.19E+14,13.33593845,-34.67867661,Pulsar Night Vision
44829557651,15.40195274,40.90089798,Cellucor
1.21E+14,-50.20659637,-14.89878654,Sanibel Island Beach Resort
1.04E+11,-33.9221077,-3.383037806,BONES WHEELS
1.69E+14,10.81621361,30.1259594,Primos Hunting
1.84E+14,28.79915428,23.16498947,Lumenok
1.25E+14,-41.6339798,-9.402041435,Delta
30391008613,37.9719429,-30.27975655,SmartWool
1.32E+11,17.1305027,39.43497086,PEAK Antifreeze & Motor Oil
1.19E+14,-34.6005249,-15.98325253,Altra Running
1.64E+14,25.72997475,37.8593483,Toyo Tires
54915724627,-8.932537079,-0.67673701,prAna (Verified Page)
1.67E+11,47.88231659,-38.64188004,Yogi
61874421710,24.80802155,-1.66796577,Cabot Creamery Co-operative
17421814173,30.28337669,-12.30923462,King Arthur Flour
30003503862,-5.099462509,6.554140568,Plum Organics (Verified Page)
1.37E+11,11.55698204,-26.46990013,Marker Products
27912494911,11.64845562,-26.50801468,Vlkl Skis
2.23E+14,11.78859234,-26.54452324,Dalbello Ski Boots
1.64E+14,11.53010082,-31.97144127,Canyon Coolers
1.55E+14,11.67932415,-28.61735344,Stio
1.44E+14,10.27815533,-27.27784538,Granite Peak Ski Area
1.28E+14,15.63202,-26.62207222,Union Binding Company
72167857773,11.8666563,-25.30655861,Full Tilt Boots
12391908318,9.811160088,-26.46881485,HO Skis
1.55E+14,10.47335434,-31.55927086,SWIX (Verified Page)
1.17E+14,14.47836685,-34.20807266,Carl Zeiss Hunting US
42719592271,15.62773609,-26.60753822,Nitro Snowboards
76402827002,12.59472752,-32.38090134,LOWA
34296534191,5.793054104,30.15626717,Columbia Sportswear
1.61E+14,44.59840775,-12.7503624,Black Radiance Beauty
3.16E+14,55.94181824,-32.03352737,A Mighty Girl
16289848398,43.74256134,-5.943579674,Jovani Fashion
2.35E+14,54.68001556,-29.20359802,ipsy
6.61E+14,-4.841844559,10.65059757,StudioInk (Verified Page)
92625437126,42.35803986,-14.14029217,MAKE UP FOR EVER
25131451365,54.85464096,-26.04964447,Avlon
7.84E+14,44.67750168,-13.84017086,Dose of Colors (Verified Page)
99271753546,51.89786148,-44.01034164,DERMA E
1.19E+11,36.70035172,4.828971386,Hot Topic
1.24E+14,38.43979263,-7.340548038,Barkev's
58936684679,44.96285629,-13.74928856,theBalm
55635571914,51.73567963,-40.89834976,Pixi Beauty
1.27E+11,12.00682163,18.03540611,E'TAE Natural Products
2.29E+11,41.24689484,-6.965175152,alice + olivia by Stacey Bendet (Verified Page)
51898756636,56.39363861,33.40782928,Elizabeth Arden
87256305832,41.99856567,-14.28671265,Dinair Airbrush Makeup
2.88E+11,13.59144974,-0.935729742,Resource Furniture
74655693269,44.3032074,-4.517110348,Trax NYC Custom Jewelry
4.66E+14,42.74505997,-8.744427681,ALOHA
2.00E+14,49.34886932,-39.00786591,Scotties Facial Tissue
1.36E+11,14.10252476,15.729496,Bath & Body Works
2.71E+11,52.73700333,-43.85040665,Pacifica
2.81E+14,53.65262604,-25.46047401,Mayvenn Hair (Verified Page)
6039999393,9.338323593,55.09550476,HubSpot (Verified Page)
4.25E+14,41.17297363,-5.483799934,Secret Wood
1.30E+11,75.37519836,5.214650631,Krispy Kreme Doughnuts
1.19E+14,49.38079071,-30.19066429,eSalon (Verified Page)
2.76E+11,13.57918167,-1.073463678,Indian Larry Motorcycles
17002121901,41.52378082,8.03947258,Lancôme
1.32E+14,48.7064476,-39.45201874,Annmarie Gianni Skin Care
1.16E+11,15.15099144,0.231984004,Nebraska Furniture Mart
7.12E+14,48.95757294,-26.4234848,Organifi
42789325785,54.52888107,-33.04590225,PCH Publishers Clearing House
1.55E+11,44.42690277,-5.205790997,FMD - The Fashion Model Directory
1.30E+11,16.27360725,42.05711365,Eucerin
3.02E+14,52.60429382,-38.62382507,The Mint Julep Boutique
2.88E+11,52.10616684,-39.47272873,Creme of Nature
51334529153,41.39288712,-10.78660488,Burt's Bees
36551079961,44.23242188,-4.416056633,Bling Jewelry
2.91E+14,54.52643585,-25.96537209,Motions Hair
1.78E+11,46.95589447,-38.62758636,GTs Kombucha
3.67E+11,39.22978592,13.89100456,Makeup.com
1.22E+14,53.10205078,-41.20643997,Milani
1.57E+11,44.46552658,-5.306766987,Sherri Hill (Verified Page)
1.25E+11,38.84781647,-8.68097496,Addison Taylor Fine Jewelry
13739321766,14.5822506,-0.386868984,eBags (Verified Page)
2.08E+14,43.64017105,-7.100197315,essence makeup
23797290954,51.94947433,-36.71058655,QVC
4.53E+14,43.79050446,-5.663158417,All is Fair in Love and Fashion
1.48E+14,38.61322021,-8.493371964,Fashion Nova (Verified Page)
1.25E+14,42.39849472,-11.06910801,Makeup Geek
1.15E+11,35.06194687,-2.289775372,True Religion Brand Jeans
21352638719,51.66756058,-45.04901886,Conair Beauty
1.32E+14,76.06936646,6.416424274,Cetaphil US
88607633677,51.08761215,-44.54914474,Silk'n
2.64E+11,41.22369385,-7.728402615,BlackHairInformation.com
1.75E+14,13.52848816,-0.915432394,Equip Your Gym
3.30E+14,45.75196457,-13.05797958,Kopari Beauty (Verified Page)
1.64E+14,41.35121155,-6.31699276,Simply Dresses
2.73E+14,30.27240372,0.081373595,FabKids.com (Verified Page)
19269341463,51.4618988,-41.22132874,PÜR Cosmetics
2.81E+14,48.29663467,-41.10379791,Hydroxycut
9351537271,12.56920719,18.80398369,Hairfinity Hair Vitamins
82403561928,14.95941448,14.93737888,tarte cosmetics
3.07E+14,1.464212537,24.23595619,CenturyLink Prism TV
27915326308,39.05686188,-11.14021587,Gold's Gym
8.25E+14,41.23788071,-5.507175922,Florence Scovel Jewelry (Verified Page)
1.02E+11,53.48199463,-27.31516266,ShoeDazzle
1.31E+14,46.10679626,-41.43680191,Sparkling Ice
49685584726,55.16799545,-31.12436485,Etsy
1.26E+14,44.08511353,-4.712675571,NIALAYA JEWELRY (Verified Page)
1.52E+14,44.61275101,-8.752796173,Amazon.com/Fashion
2.20E+14,48.33972549,-28.38075829,Nubian Heritage
4.25E+14,53.76547241,-31.58143806,Blue Apron
3.63E+11,58.79964447,-21.77917099,Jergens US
7717041259,39.58379364,9.169232368,Neutrogena
1.23E+14,71.80872345,7.39076519,Rolaids
6391689884,41.46895218,8.277280807,Clinique
1.72E+11,50.48807526,30.69613838,Paul Mitchell
1.46E+14,41.59235001,-5.503472805,Jared The Galleria Of Jewelry (Verified Page)
76047094808,43.9100914,-4.70141077,Riddle's Jewelry
1.18E+11,49.88841248,-42.22587204,GoGo squeeZ
2.53E+14,39.84322357,-10.91451263,Clearblue
57543722193,51.42490387,-42.78231049,jane iredale
1.21E+14,42.65179443,-12.25628567,Beauty Brands (Verified Page)
1.06E+11,44.49103546,-13.11668015,L.A. Girl Cosmetics
1.99E+14,49.74600601,-45.69043732,Little Hug Fruit Barrels
1.75E+14,55.54137421,-29.80348015,Coupon Divas
1.74E+15,54.49607086,31.01299858,pandora
2.23E+14,39.59272003,-8.496567726,The Pink Lily Boutique
3.51E+14,51.33697891,-28.19968224,SheaMoisture Baby
1.34E+11,-57.67551804,-6.453429222,Kimpton Ink48 Hotel
1.74E+11,54.88313675,-25.99046516,CURLS
4.79E+14,48.92815781,-26.93127823,LIVE Beverages
74446849561,-4.113277435,53.77494431,Embassy Suites Hotels
1.02E+11,43.28966141,-15.13740253,Juice Plus+
1.51E+14,16.11983299,-2.13894558,Fry's Electronics
1.17E+14,71.54563904,7.432729244,EAS Sports Nutrition
5.50E+14,44.15241623,-4.773955822,Jeulia Jewelry (Verified Page)
48121997215,47.48551178,-39.37477112,GoodBelly
3.98E+14,46.02832031,-13.2332859,Beautycounter
6.81E+14,55.08361053,-27.69487381,Rosewe
1.52E+15,40.79587555,-6.81802845, 
70070202017,51.52681732,-38.24672318,Lane Bryant
53590256386,42.05810928,-11.3835516,NARS Cosmetics
2.98E+11,55.24870682,-25.76921272,As I Am
35301196913,52.17331314,-43.1157341,Physicians Formula
2.09E+11,46.36782074,-40.43293762,Orgain
4.26E+14,39.6921463,-10.86686325,THINX (Verified Page)
1.97E+14,56.08359528,-29.46873474,Bookvip.com
1.82E+11,52.80729675,-28.10135269,Pravana
7.32E+14,56.07107544,33.43395233,Giorgio Armani Beauty
37775751330,52.8508606,-42.41707611,EcoTools
2.81E+11,45.18388748,-13.59462547,Sigma Beauty
1.29E+14,42.66082382,-13.48733807,JAPONESQUE
54329942704,43.3640976,-6.455485344,Fashion To Figure
45644434981,43.79557037,-4.777218819,Rio Grande Jewelry Making Supplies
31654787464,14.99299717,15.1091671,e.l.f. Cosmetics
3.17E+14,8.769870758,-23.98330116,Dunlop Tennis
1.30E+11,19.09613419,22.63237953,Troy Lee Designs
97490656822,7.148853779,48.27885056,TYR Sport
2.09E+11,40.58755112,-27.03730774,5-Hour Energy
5.14E+14,55.97867203,-29.59047699,NastyDress
88684896363,43.74661636,-29.60930634,Nature's Bounty
1.33E+14,47.91760635,-18.53315353,Flex Wheeler
1.28E+11,24.04223442,35.9021225,King Shocks
70099431528,30.1082077,22.34993935,ScentBlocker
2.55E+14,8.811341286,48.29188538,RIDE 100%
1.16E+14,7.46949625,-19.1322403,Israel Outdoors
92831927417,52.65131378,-4.763128757,GNC Live Well
1.74E+14,25.52390671,23.22922516,Mizuno Baseball North America
1.58E+14,11.61324787,-21.77661514,Roto Grip
33967469820,-35.46868134,-16.80541229,Gaiam
1.19E+14,53.27346039,-20.62108612,NordicTrack (Verified Page)
1.12E+11,11.80283451,17.93236542,Carol's Daughter
79782132050,50.55166626,-43.80777359,Palmer's
1.16E+11,21.98446655,40.31409836,Sea-Doo (Verified Page)
1.06E+14,14.93231487,41.4719429,Zest
7172307686,51.02993393,-38.71164322,Zappos.com
1.71E+11,50.94127274,-43.13191223,RUSK
71916016074,8.948357582,-30.53132057,Triumph United
31794795012,-31.80290985,-5.89059639,Freebord
55667706445,0.690361977,11.79337978,Garmin Fitness
1.32E+14,-20.64653206,25.69437981,Ceragon Networks
2.93E+14,46.96791458,-19.30738258,LifeStraw
17218400927,10.61124516,-25.111269,Spikeball
1.17E+14,21.59331512,10.69811916,ECCO Golf
28596954907,5.212918282,44.51721573,Coleman U.S.A.
6851405967,-8.418579102,56.4463768,CREDO Mobile
22409433872,7.253890514,49.3560257,Mountain Hardwear
3.56E+11,36.55640411,-18.31920242,Bianchi
51777680227,-4.471441269,60.46396255,Beaches Resorts
69271134446,51.32478714,-36.53951263,thredUP
2.58E+11,19.99542427,20.83835602,Independent Trucks
2.99E+11,48.06845856,-18.48267555,SKLZ
1.95E+14,17.31412697,39.12485504,Goodys Powder
2.24E+14,-10.46987247,-22.18569946,SpringHill Suites by Marriott
1.33E+14,12.51805019,-20.4616642,Mizuno Golf North America
1.94E+14,28.50069046,19.82183075,Fish G.Loomis
1.24E+14,50.10709,-28.62122154,KeVita
